system:index,-75739207_37861743,-75761665_37843777,-75793106_37906659,-75802089_37915642,-75811073_37875218,-75820056_37812336,-75842514_37794370,-75864972_37718013,-75887429_37628181,-75972769_37776403,-75990736_37682080,-76053618_36923004,-76053618_37228431,-76058109_37583266,-76080567_37412586,-76156924_37488943,-76161416_37412586,-76161416_37587757,-76165907_36994869,-76170399_37911151,-76174890_37798861,-76188365_37691064,-76206331_37237414,-76219806_38319884,-76228789_38135730,-76228789_38315393,-76264722_38189629,-76291671_38319884,-76305146_38526497,-76305146_39164301,-76336587_38032423,-76345570_38023440,-76345570_39177775,-76350062_38575904,-76372520_37179024,-76385994_37237414,-76385994_37241906,-76390486_37219448,-76390486_37250889,-76390486_37259872,-76390486_38557938,-76390486_39150826,-76412944_38557938,-76426419_38113272,-76430910_38122255,-76444385_38059373,-76444385_38113272,-76448876_38086322,-76655489_38189629,-76722863_38189629,-76767778_38171662,-76803711_38176154,imageID,timeMillis,.geo
T2000056_0,0.011486001312732697,0.010406000539660454,0.010280000977218151,0.010280000977218151,0.009868000634014606,0.009158001281321049,0.011280001141130924,0.007182001136243343,0.005600001197308302,0.007568000815808773,0.005518001038581133,0.006788000930100679,0.005390000995248556,0.004506000783294439,0.0044760010205209255,0.0047880010679364204,0.005304000806063414,0.00400000112131238,0.008376001380383968,0.004368001129478216,0.003966000862419605,0.003858000971376896,0.008252001367509365,0.004088000860065222,0.003840001067146659,0.004088000860065222,0.0039640008471906185,0.0040120012126863,0.007312001194804907,0.004228000994771719,0.0034640009980648756,0.0034640009980648756,0.004652000963687897,0.0036680009216070175,0.009094000793993473,0.007888001389801502,0.007888001389801502,0.007888001389801502,0.007888001389801502,0.008234000764787197,0.0036680009216070175,0.004434001166373491,0.0036680009216070175,0.003236000891774893,0.003236000891774893,0.0029020009096711874,0.003236000891774893,0.003236000891774893,0.0046380008570849895,0.0053360010497272015,0.006202001124620438,0.007026000879704952,T2000056,9.51429306E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000057_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000057,9.51509406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000058_0,,,,,,,,,,,,,0.005712001118808985,,0.00503400107845664,,0.00518000079318881,,0.005998000968247652,,,,0.006190001033246517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000058,9.51597906E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000059_0,0.011726001277565956,0.010838001035153866,0.009730000980198383,0.009730000980198383,0.009672001004219055,0.0100840013474226,0.011318000964820385,0.006258001085370779,0.008228001184761524,0.00789600145071745,0.004806001204997301,0.0069360011257231236,0.005232001189142466,0.0044840010814368725,0.003950001206248999,0.00400600116699934,0.004702000878751278,0.004560001194477081,0.006884001195430756,0.003830000991001725,0.0038600009866058826,0.003952001221477985,0.0058480012230575085,,0.003814001102000475,,0.003746001049876213,0.0036820010282099247,0.007668001111596823,,0.0033860011026263237,0.0033860011026263237,,0.004852001089602709,0.010174000635743141,0.007720001041889191,0.007720001041889191,0.007720001041889191,0.007720001041889191,0.009206000715494156,0.004288000985980034,,0.004288000985980034,,,0.003184000961482525,,,0.003534001065418124,0.003910000901669264,0.004344000946730375,0.004626001231372356,T2000059,9.51685205E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000060_0,,,,,0.011136000975966454,,,,,0.00654800096526742,,0.006292000878602266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000060,9.51770406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000061_0,,,,,,,,,,,,0.006006001029163599,,,,,,,0.005282001104205847,,,,0.0034140010830014944,,,,,,,,,,,,0.01401200145483017,,,,,,,,,,,,,,,,,,T2000061,9.51858005E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000062_0,,,0.009224001318216324,0.009224001318216324,0.009622001089155674,,,,,0.004866001196205616,0.0037240011151880026,,,,,0.0036320011131465435,,0.0029560010880231857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000062,9.51949805E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000063_0,,0.013120001181960106,0.013860001228749752,0.013860001228749752,0.013160000555217266,0.013202001340687275,0.013202001340687275,0.010820001363754272,0.01153000071644783,0.011362001299858093,0.009300000965595245,0.0055880011059343815,0.004014001227915287,0.006492001004517078,0.004516000859439373,0.005130000878125429,0.00707800080999732,0.004720001015812159,,0.006328001152724028,0.004622001200914383,0.003706000978127122,0.003680001012980938,,0.004368001129478216,,0.004944000858813524,0.004592000972479582,0.009240001440048218,,0.004810000769793987,0.004810000769793987,,0.007416001055389643,,,,,,,0.006282000802457333,,0.006282000802457333,,,0.004042000975459814,,,0.005982000846415758,0.0061640008352696896,0.007228001020848751,0.006886001210659742,T2000063,9.52029606E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000064_0,0.009596001356840134,0.009438000619411469,0.009654001332819462,0.009654001332819462,0.009336001239717007,,0.008566001430153847,,,0.0061720008961856365,0.006234000902622938,,0.0033800010569393635,0.0050400011241436005,0.003570001106709242,0.004612001124769449,0.00425200117751956,0.004176001064479351,0.0049140010960400105,0.0037820010911673307,0.00351200089789927,0.0044680009596049786,0.003290001070126891,,0.003922000993043184,,0.003892000997439027,0.004114001058042049,0.006060000974684954,,0.0037700009997934103,0.0037700009997934103,,0.005298001226037741,0.006638001184910536,0.0038940010126680136,0.0038940010126680136,0.0038940010126680136,0.0038940010126680136,,0.005420001223683357,,0.005420001223683357,,,0.004206000827252865,,,0.004316001199185848,0.00514800101518631,0.005378000903874636,0.004866001196205616,T2000064,9.52118106E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000065_0,,,,,,,,,,0.005870000924915075,0.0052100010216236115,0.005236001219600439,0.0032540010288357735,0.004162000957876444,0.0036680009216070175,0.0033980009611696005,0.003984000999480486,0.004326000809669495,0.00466200103983283,0.003916000947356224,0.003452000906690955,0.003790000919252634,0.003200001083314419,,0.0036660009063780308,,0.0039040010888129473,0.004572000820189714,0.006994001101702452,,0.0036560010630637407,0.0036560010630637407,,0.005510000977665186,0.007504000794142485,0.004204000812023878,0.004204000812023878,0.004204000812023878,0.004204000812023878,,0.005272001028060913,,0.005272001028060913,,,,,,0.0038000009953975677,0.003922000993043184,0.0043500009924173355,0.004526000935584307,T2000065,9.52203006E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
